Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_NA3207AA	 IBESS904	ERR3331190;ILLUMINA;Paired;75;ERX3355905;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615541	ERS3419725	2019-07-01	2019-06-30	ESC_NA3207AA	NaN	9825	ST270 Cplx			6	1395	7	1	11	3	56
ESC_NA3208AA	IBESS911	ERR3331183;ILLUMINA;Paired;75;ERX3355898;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri							travel to Netherlands	PRJEB32617	ERP115319		SAMEA5615534	ERS3419718	2019-07-01	2019-06-30	ESC_NA3208AA	NaN	245	ST245 Cplx	ABD		6	61	6	11	13	3	50
ESC_NA3209AA	IBESS909	ERR3331182;ILLUMINA;Paired;75;ERX3355897;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to India	PRJEB32617	ERP115319		SAMEA5615533	ERS3419717	2019-07-01	2019-06-30	ESC_NA3209AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3210AA	 IBESS891	ERR3331177;ILLUMINA;Paired;75;ERX3355892;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615528	ERS3419712	2019-07-01	2019-06-30	ESC_NA3210AA	NaN	-730	ST270 Cplx	B1		6	1395	-3	1	11	3	56
ESC_NA3211AA	IBESS857	ERR3331172;ILLUMINA;Paired;75;ERX3355887;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC		travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615523	ERS3419707	2019-07-01	2019-06-30	ESC_NA3211AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3214AA	IBESS827	ERR3331162;ILLUMINA;Paired;75;ERX3355877;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615513	ERS3419697	2019-07-01	2019-06-30	ESC_NA3214AA	NaN	9824	ST270 Cplx			6	4	857	1	11	3	56
ESC_NA3215AA	IBESS821	ERR3331161;ILLUMINA;Paired;75;ERX3355876;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O121:H30			EIEC		travel to Netherlands	PRJEB32617	ERP115319		SAMEA5615512	ERS3419696	2019-07-01	2019-06-30	ESC_NA3215AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3216AA	IBESS811	ERR3331153;ILLUMINA;Paired;75;ERX3355868;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to South Africa	PRJEB32617	ERP115319		SAMEA5615504	ERS3419688	2019-07-01	2019-06-30	ESC_NA3216AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3218AA	IBESS99	ERR3331128;ILLUMINA;Paired;75;ERX3355843;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O182:H30			EIEC		travel to Myanmar, Singapore	PRJEB32617	ERP115319		SAMEA5615479	ERS3419663	2019-07-01	2019-06-30	ESC_NA3218AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3219AA	IBESS97	ERR3331127;ILLUMINA;Paired;75;ERX3355842;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri							travel to India	PRJEB32617	ERP115319		SAMEA5615478	ERS3419662	2019-07-01	2019-06-30	ESC_NA3219AA	NaN	1025	ST245 Cplx			6	61	6	174	13	3	50
ESC_NA3220AA	 IBESS46	ERR3331092;ILLUMINA;Paired;75;ERX3355807;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615443	ERS3419627	2019-07-01	2019-06-30	ESC_NA3220AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3221AA	IBESS44	ERR3331091;ILLUMINA;Paired;75;ERX3355806;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			EIEC		travel to Brasil	PRJEB32617	ERP115319		SAMEA5615442	ERS3419626	2019-07-01	2019-06-30	ESC_NA3221AA	NaN	2067	ST20 Cplx			6	95	3	18	11	122	2
ESC_NA3222AA	 IBESS13	ERR3331087;ILLUMINA;Paired;75;ERX3355802;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC			PRJEB32617	ERP115319		SAMEA5615438	ERS3419622	2019-07-01	2019-06-30	ESC_NA3222AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3223AA	IBESS45	ERR3331082;ILLUMINA;Paired;75;ERX3355797;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O121:H30			EIEC		travel to India	PRJEB32617	ERP115319		SAMEA5615428	ERS3419612	2019-07-01	2019-06-30	ESC_NA3223AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3224AA	IBESS697	ERR3331077;ILLUMINA;Paired;75;ERX3355792;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Cape Verde	PRJEB32617	ERP115319		SAMEA5615423	ERS3419607	2019-07-01	2019-06-30	ESC_NA3224AA	NaN	311	ST270 Cplx	B1		6	4	7	1	61	3	61
ESC_NA3225AA	IBESS680	ERR3331071;ILLUMINA;Paired;75;ERX3355786;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O121:H30			EIEC			PRJEB32617	ERP115319		SAMEA5615417	ERS3419601	2019-07-01	2019-06-30	ESC_NA3225AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3226AA	 IBESS670	ERR3331069;ILLUMINA;Paired;75;ERX3355784;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			EIEC			PRJEB32617	ERP115319		SAMEA5615415	ERS3419599	2019-07-01	2019-06-30	ESC_NA3226AA	NaN	280	ST280 Cplx	ABD		6	25	7	19	1	2	2
ESC_NA3227AA	 IBESS666	ERR3331067;ILLUMINA;Paired;75;ERX3355782;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615413	ERS3419597	2019-07-01	2019-06-30	ESC_NA3227AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3228AA	IBESS664	ERR3331066;ILLUMINA;Paired;75;ERX3355781;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Netherlands	PRJEB32617	ERP115319		SAMEA5615412	ERS3419596	2019-07-01	2019-06-30	ESC_NA3228AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3229AA	IBESS653	ERR3331065;ILLUMINA;Paired;75;ERX3355780;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615411	ERS3419595	2019-07-01	2019-06-30	ESC_NA3229AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3230AA		ERR3331060;ILLUMINA;Paired;75;ERX3355775;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief						PRJEB32617	ERP115319		SAMEA5615406	ERS3419590	2019-07-01	2019-06-30	ESC_NA3230AA	NaN	200	ST40 Cplx	B1		6	4	5	26	7	8	14
ESC_NA3231AA	 IBESS586	ERR3331058;ILLUMINA;Paired;75;ERX3355773;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615404	ERS3419588	2019-07-01	2019-06-30	ESC_NA3231AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3232AA	 IBESS580	ERR3331053;ILLUMINA;Paired;75;ERX3355768;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O124:H30			EIEC			PRJEB32617	ERP115319		SAMEA5615399	ERS3419583	2019-07-01	2019-06-30	ESC_NA3232AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3233AA	IBESS557	ERR3331051;ILLUMINA;Paired;75;ERX3355766;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			S. dysenteriae		travel to Egypt	PRJEB32617	ERP115319		SAMEA5615397	ERS3419581	2019-07-01	2019-06-30	ESC_NA3233AA	NaN	4267		AxB1		6	6	4	16	24	8	7
ESC_NA3234AA		ERR3331048;ILLUMINA;Paired;75;ERX3355763;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			S. dysenteriae		was Escherichia coli	PRJEB32617	ERP115319		SAMEA5615394	ERS3419578	2019-07-01	2019-06-30	ESC_NA3234AA	NaN	4267		AxB1		6	6	4	16	24	8	7
ESC_NA3235AA	IBESS629	ERR3331027;ILLUMINA;Paired;75;ERX3355742;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			EIEC		travel to Morocco	PRJEB32617	ERP115319		SAMEA5615373	ERS3419557	2019-07-01	2019-06-30	ESC_NA3235AA	NaN	10	ST10 Cplx	A		10	11	4	8	8	8	2
ESC_NA3236AA	IBESS471	ERR3331016;ILLUMINA;Paired;75;ERX3355731;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC			PRJEB32617	ERP115319		SAMEA5615362	ERS3419546	2019-07-01	2019-06-30	ESC_NA3236AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3237AA	IBESS453	ERR3330994;ILLUMINA;Paired;75;ERX3355709;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to India	PRJEB32617	ERP115319		SAMEA5615340	ERS3419524	2019-07-01	2019-06-30	ESC_NA3237AA	NaN	270	ST270 Cplx	B1		6	4	7	1	11	3	56
ESC_NA3238AA	IBESS450	ERR3330992;ILLUMINA;Paired;75;ERX3355707;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O121:H30			EIEC		travel to Cuba	PRJEB32617	ERP115319		SAMEA5615338	ERS3419522	2019-07-01	2019-06-30	ESC_NA3238AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3239AA	 IBESS423	ERR3330983;ILLUMINA;Paired;75;ERX3355698;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC			PRJEB32617	ERP115319		SAMEA5615334	ERS3419518	2019-07-01	2019-06-30	ESC_NA3239AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3240AA		ERR3330971;ILLUMINA;Paired;75;ERX3355686;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief						PRJEB32617	ERP115319		SAMEA5615332	ERS3419516	2019-07-01	2019-06-30	ESC_NA3240AA	NaN	394	ST394 Cplx			21	35	61	52	5	5	4
ESC_NA3241AA	 IBESS395	ERR3330965;ILLUMINA;Paired;75;ERX3355680;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC			PRJEB32617	ERP115319		SAMEA5615330	ERS3419514	2019-07-01	2019-06-30	ESC_NA3241AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3242AA	 IBESS382	ERR3330962;ILLUMINA;Paired;75;ERX3355677;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615329	ERS3419513	2019-07-01	2019-06-30	ESC_NA3242AA	NaN	311	ST270 Cplx	B1		6	4	7	1	61	3	61
ESC_NA3243AA	IBESS393	ERR3330956;ILLUMINA;Paired;75;ERX3355671;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Peru	PRJEB32617	ERP115319		SAMEA5615327	ERS3419511	2019-07-01	2019-06-30	ESC_NA3243AA	NaN	311	ST270 Cplx	B1		6	4	7	1	61	3	61
ESC_NA3244AA	IBESS379	ERR3330947;ILLUMINA;Paired;75;ERX3355662;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			S. dysenteriae		was Escherichia coli	PRJEB32617	ERP115319		SAMEA5615323	ERS3419507	2019-07-01	2019-06-30	ESC_NA3244AA	NaN	4267		AxB1		6	6	4	16	24	8	7
ESC_NA3245AA	IBESS362	ERR3330945;ILLUMINA;Paired;75;ERX3355660;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			S. dysenteriae		travel to Morocco	PRJEB32617	ERP115319		SAMEA5615322	ERS3419506	2019-07-01	2019-06-30	ESC_NA3245AA	NaN	4267		AxB1		6	6	4	16	24	8	7
ESC_NA3246AA		ERR3330943;ILLUMINA;Paired;75;ERX3355658;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli								PRJEB32617	ERP115319		SAMEA5615321	ERS3419505	2019-07-01	2019-06-30	ESC_NA3246AA	NaN	38	ST38 Cplx	D		4	26	2	25	5	5	19
ESC_NA3247AA	IBESS321	ERR3330931;ILLUMINA;Paired;75;ERX3355646;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC		travel to Mexico	PRJEB32617	ERP115319		SAMEA5615316	ERS3419500	2019-07-01	2019-06-30	ESC_NA3247AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3248AA		ERR3330841;ILLUMINA;Paired;75;ERX3355556;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri								PRJEB32617	ERP115319		SAMEA5615312	ERS3419496	2019-07-01	2019-06-30	ESC_NA3248AA	NaN	245	ST245 Cplx	ABD		6	61	6	11	13	3	50
ESC_NA3249AA	 IBESS231	ERR3330835;ILLUMINA;Paired;75;ERX3355550;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli					EIEC			PRJEB32617	ERP115319		SAMEA5615310	ERS3419494	2019-07-01	2019-06-30	ESC_NA3249AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3250AA		ERR3330816;ILLUMINA;Paired;75;ERX3355531;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief						PRJEB32617	ERP115319		SAMEA5615303	ERS3419487	2019-07-01	2019-06-30	ESC_NA3250AA	NaN	450		A		6	11	95	104	8	7	2
ESC_NA3251AA		ERR3330789;ILLUMINA;Paired;75;ERX3355504;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri								PRJEB32617	ERP115319		SAMEA5615295	ERS3419479	2019-07-01	2019-06-30	ESC_NA3251AA	NaN	245	ST245 Cplx	ABD		6	61	6	11	13	3	50
ESC_NA3252AA	IBESS197	ERR3330667;ILLUMINA;Paired;75;ERX3355382;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O96:H19			EIEC		travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615292	ERS3419476	2019-07-01	2019-06-30	ESC_NA3252AA	NaN	99		B1		6	4	22	18	9	26	7
ESC_NA3253AA	 IBESS165	ERR3330648;ILLUMINA;Paired;75;ERX3355363;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O124:H30			EIEC			PRJEB32617	ERP115319		SAMEA5615281	ERS3419465	2019-07-01	2019-06-30	ESC_NA3253AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3254AA	IBESS113	ERR3330639;ILLUMINA;Paired;75;ERX3355354;SRA				2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		Enteroinvasief			EIEC		travel to Germany	PRJEB32617	ERP115319		SAMEA5615272	ERS3419456	2019-07-01	2019-06-30	ESC_NA3254AA	NaN	9758				6	1384	848	18	11	122	2
ESC_NA3259AA	IBESS1011	ERR3327981;ILLUMINA;Paired;75;ERX3352696;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Escherichia coli		O124:H30			EIEC		travel to Malawi	PRJEB32617	ERP115319		SAMEA5613673	ERS3417859	2019-07-01	2019-06-30	ESC_NA3259AA	NaN	6		AxB1		8	7	1	1	10	8	6
ESC_NA3317AA	IBESS1024	ERR3386234;ILLUMINA;Paired;75;ERX3410098;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri		2a						PRJEB32617	ERP115319		SAMEA5730087	ERS3533393	2019-07-01	2019-06-30	ESC_NA3317AA	NaN	245	ST245 Cplx	ABD		6	61	6	11	13	3	50
ESC_NA3319AA	IBESS1210	ERR3358552;ILLUMINA;Paired;75;ERX3383059;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Egypt	PRJEB32617	ERP115319		SAMEA5694265	ERS3498226	2019-07-01	2019-06-30	ESC_NA3319AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3320AA	IBESS1053	ERR3358550;ILLUMINA;Paired;75;ERX3383057;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Gambia	PRJEB32617	ERP115319		SAMEA5694263	ERS3498224	2019-07-01	2019-06-30	ESC_NA3320AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3322AA	IBESS1022	ERR3358548;ILLUMINA;Paired;75;ERX3383055;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Egypt	PRJEB32617	ERP115319		SAMEA5694261	ERS3498222	2019-07-01	2019-06-30	ESC_NA3322AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3323AA	IBESS1191	ERR3333263;ILLUMINA;Paired;75;ERX3357978;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Malawi	PRJEB32617	ERP115319		SAMEA5615705	ERS3419888	2019-07-01	2019-06-30	ESC_NA3323AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3324AA	IBESS1182	ERR3333262;ILLUMINA;Paired;75;ERX3357977;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Malawi	PRJEB32617	ERP115319		SAMEA5615704	ERS3419887	2019-07-01	2019-06-30	ESC_NA3324AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3325AA	IBESS1181	ERR3333261;ILLUMINA;Paired;75;ERX3357976;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Malawi	PRJEB32617	ERP115319		SAMEA5615703	ERS3419886	2019-07-01	2019-06-30	ESC_NA3325AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3326AA	IBESS1162	ERR3333259;ILLUMINA;Paired;75;ERX3357974;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Georgia, France	PRJEB32617	ERP115319		SAMEA5615701	ERS3419884	2019-07-01	2019-06-30	ESC_NA3326AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3327AA	IBESS1156	ERR3333258;ILLUMINA;Paired;75;ERX3357973;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Belgium	PRJEB32617	ERP115319		SAMEA5615700	ERS3419883	2019-07-01	2019-06-30	ESC_NA3327AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3328AA	IBESS1152	ERR3333256;ILLUMINA;Paired;75;ERX3357971;SRA	Human	Human		2016				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615698	ERS3419881	2019-07-01	2019-06-30	ESC_NA3328AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3329AA	IBESS1132	ERR3333255;ILLUMINA;Paired;75;ERX3357970;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Egypt	PRJEB32617	ERP115319		SAMEA5615697	ERS3419880	2019-07-01	2019-06-30	ESC_NA3329AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3330AA	IBESS1131	ERR3333254;ILLUMINA;Paired;75;ERX3357969;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615696	ERS3419879	2019-07-01	2019-06-30	ESC_NA3330AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3331AA	IBESS1130	ERR3333253;ILLUMINA;Paired;75;ERX3357968;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615695	ERS3419878	2019-07-01	2019-06-30	ESC_NA3331AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3332AA	IBESS1127	ERR3333252;ILLUMINA;Paired;75;ERX3357967;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615694	ERS3419877	2019-07-01	2019-06-30	ESC_NA3332AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3333AA	IBESS1124	ERR3333251;ILLUMINA;Paired;75;ERX3357966;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Cape Verde	PRJEB32617	ERP115319		SAMEA5615693	ERS3419876	2019-07-01	2019-06-30	ESC_NA3333AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3334AA	IBESS1122	ERR3333249;ILLUMINA;Paired;75;ERX3357964;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Morocco	PRJEB32617	ERP115319		SAMEA5615691	ERS3419874	2019-07-01	2019-06-30	ESC_NA3334AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3335AA	IBESS1121	ERR3333248;ILLUMINA;Paired;75;ERX3357963;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri		 Y			S. flexneri			PRJEB32617	ERP115319		SAMEA5615690	ERS3419873	2019-07-01	2019-06-30	ESC_NA3335AA	NaN	245	ST245 Cplx	ABD		6	61	6	11	13	3	50
ESC_NA3336AA	IBESS1120	ERR3333247;ILLUMINA;Paired;75;ERX3357962;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615689	ERS3419872	2019-07-01	2019-06-30	ESC_NA3336AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3337AA	IBESS1106	ERR3333244;ILLUMINA;Paired;75;ERX3357959;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Morocco	PRJEB32617	ERP115319		SAMEA5615686	ERS3419869	2019-07-01	2019-06-30	ESC_NA3337AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3338AA	IBESS996	ERR3331216;ILLUMINA;Paired;75;ERX3355931;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri		3a					travel to Indonesia	PRJEB32617	ERP115319		SAMEA5615567	ERS3419751	2019-07-01	2019-06-30	ESC_NA3338AA	NaN	1025	ST245 Cplx			6	61	6	174	13	3	50
ESC_NA3339AA	IBESS995	ERR3331215;ILLUMINA;Paired;75;ERX3355930;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri		Sf6			S. flexneri		travel to Mozambique	PRJEB32617	ERP115319		SAMEA5615566	ERS3419750	2019-07-01	2019-06-30	ESC_NA3339AA	NaN	145	ST243 Cplx	B1		1	10	1	1	1	1	1
ESC_NA3340AA	IBESS992	ERR3331214;ILLUMINA;Paired;75;ERX3355929;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615565	ERS3419749	2019-07-01	2019-06-30	ESC_NA3340AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3341AA	IBESS991	ERR3331213;ILLUMINA;Paired;75;ERX3355928;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Malawi	PRJEB32617	ERP115319		SAMEA5615564	ERS3419748	2019-07-01	2019-06-30	ESC_NA3341AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3342AA	IBESS988	ERR3331211;ILLUMINA;Paired;75;ERX3355926;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella flexneri		3b						PRJEB32617	ERP115319		SAMEA5615562	ERS3419746	2019-07-01	2019-06-30	ESC_NA3342AA	NaN	1025	ST245 Cplx			6	61	6	174	13	3	50
ESC_NA3343AA	IBESS987	ERR3331210;ILLUMINA;Paired;75;ERX3355925;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Morocco	PRJEB32617	ERP115319		SAMEA5615561	ERS3419745	2019-07-01	2019-06-30	ESC_NA3343AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3344AA	IBESS971	ERR3331209;ILLUMINA;Paired;75;ERX3355924;SRA				2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei								PRJEB32617	ERP115319		SAMEA5615560	ERS3419744	2019-07-01	2019-06-30	ESC_NA3344AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
ESC_NA3345AA	IBESS963	ERR3331208;ILLUMINA;Paired;75;ERX3355923;SRA	Human	Human		2017				Europe	Netherlands							RIVM - National Institute for Public Health and the Environment	Shigella sonnei							travel to Nepal	PRJEB32617	ERP115319		SAMEA5615559	ERS3419743	2019-07-01	2019-06-30	ESC_NA3345AA	NaN	152	ST152 Cplx	B1		11	63	7	1	14	7	7
