Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Comment,Simple Disease,Disease,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Differences,ST,ST Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_EA1497AA,201009258,ERR1541630;ILLUMINA;Paired;447;ERX1612395;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891749,ERS1078883,7/20/16,7/20/16,ESC_EA1497AA,,6200,ST245 Cplx,,,6,61,6,643,13,3,50
ESC_EA1498AA,201008818,ERR1541629;ILLUMINA;Paired;450;ERX1612394;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891747,ERS1078881,7/20/16,7/20/16,ESC_EA1498AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_EA1500AA,201006240,ERR1541627;ILLUMINA;Paired;456;ERX1612392;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891745,ERS1078879,7/20/16,7/20/16,ESC_EA1500AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_EA1501AA,201005830,ERR1541626;ILLUMINA;Paired;450;ERX1612391;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891744,ERS1078878,7/20/16,7/20/16,ESC_EA1501AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_EA1502AA,201002031,ERR1541625;ILLUMINA;Paired;449;ERX1612390;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891743,ERS1078877,7/20/16,7/20/16,ESC_EA1502AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_EA1503AA,201001485,ERR1541624;ILLUMINA;Paired;440;ERX1612389;SRA,Human,Human,Shigellosis,2010,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891742,ERS1078876,7/20/16,7/20/16,ESC_EA1503AA,,6200,ST245 Cplx,,,6,61,6,643,13,3,50
ESC_EA1505AA,200902854,ERR1541622;ILLUMINA;Paired;441;ERX1612387;SRA,Human,Human,Shigellosis,2009,,,,Europe,France,,,,,,,SC,Shigella flexneri,,Sf2a,,Pathogen,S. flexneri,PG3; Baker Nat Comm (2018) 9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891740,ERS1078874,7/20/16,7/20/16,ESC_EA1505AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_EA1508AA,201412145,ERR1541619;ILLUMINA;Paired;481;ERX1612384;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891737,ERS1078871,7/20/16,7/20/16,ESC_EA1508AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1511AA,201409985,ERR1541616;ILLUMINA;Paired;446;ERX1612381;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891734,ERS1078868,7/20/16,7/20/16,ESC_EA1511AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1512AA,201409413,ERR1541615;ILLUMINA;Paired;435;ERX1612380;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891732,ERS1078866,7/20/16,7/20/16,ESC_EA1512AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1513AA,201409042,ERR1541614;ILLUMINA;Paired;448;ERX1612379;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891731,ERS1078865,7/20/16,7/20/16,ESC_EA1513AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1514AA,201408685,ERR1541613;ILLUMINA;Paired;460;ERX1612378;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891730,ERS1078864,7/20/16,7/20/16,ESC_EA1514AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1515AA,201408085,ERR1541612;ILLUMINA;Paired;435;ERX1612377;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891729,ERS1078863,7/20/16,7/20/16,ESC_EA1515AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1516AA,201408083,ERR1541611;ILLUMINA;Paired;460;ERX1612376;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Cluster 7; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891728,ERS1078862,7/20/16,7/20/16,ESC_EA1516AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1517AA,201407778,ERR1541610;ILLUMINA;Paired;442;ERX1612375;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891727,ERS1078861,7/20/16,7/20/16,ESC_EA1517AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1518AA,201407049,ERR1541609;ILLUMINA;Paired;453;ERX1612374;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891726,ERS1078860,7/20/16,7/20/16,ESC_EA1518AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1519AA,201407018,ERR1541608;ILLUMINA;Paired;454;ERX1612373;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891725,ERS1078859,7/20/16,7/20/16,ESC_EA1519AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1520AA,201405577,ERR1541607;ILLUMINA;Paired;458;ERX1612372;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Cluster 7; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891724,ERS1078858,7/20/16,7/20/16,ESC_EA1520AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1521AA,201405020,ERR1541606;ILLUMINA;Paired;438;ERX1612371;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891723,ERS1078857,7/20/16,7/20/16,ESC_EA1521AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1522AA,201404910,ERR1541605;ILLUMINA;Paired;440;ERX1612370;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Cluster 7; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891722,ERS1078856,7/20/16,7/20/16,ESC_EA1522AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1523AA,201403597,ERR1541604;ILLUMINA;Paired;427;ERX1612369;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891721,ERS1078855,7/20/16,7/20/16,ESC_EA1523AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1525AA,201400675,ERR1541602;ILLUMINA;Paired;470;ERX1612367;SRA,Human,Human,Shigellosis,2014,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891719,ERS1078853,7/20/16,7/20/16,ESC_EA1525AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1527AA,201312520,ERR1541600;ILLUMINA;Paired;461;ERX1612365;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891716,ERS1078850,7/20/16,7/20/16,ESC_EA1527AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1528AA,201312454,ERR1541599;ILLUMINA;Paired;446;ERX1612364;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891715,ERS1078849,7/20/16,7/20/16,ESC_EA1528AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1529AA,201311321,ERR1541598;ILLUMINA;Paired;442;ERX1612363;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891714,ERS1078848,7/20/16,7/20/16,ESC_EA1529AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1530AA,201308172,ERR1541597;ILLUMINA;Paired;436;ERX1612362;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891713,ERS1078847,7/20/16,7/20/16,ESC_EA1530AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1531AA,201307631,ERR1541596;ILLUMINA;Paired;437;ERX1612361;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891712,ERS1078846,7/20/16,7/20/16,ESC_EA1531AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1532AA,201306864,ERR1541595;ILLUMINA;Paired;439;ERX1612360;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891711,ERS1078845,7/20/16,7/20/16,ESC_EA1532AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1535AA,201305784,ERR1541592;ILLUMINA;Paired;449;ERX1612357;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,SC,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891708,ERS1078842,7/20/16,7/20/16,ESC_EA1535AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1537AA,201303008,ERR1541590;ILLUMINA;Paired;466;ERX1612355;SRA,Human,Human,Shigellosis,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891706,ERS1078840,7/20/16,7/20/16,ESC_EA1537AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1539AA,201211535,ERR1541588;ILLUMINA;Paired;435;ERX1612353;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891704,ERS1078838,7/20/16,7/20/16,ESC_EA1539AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1540AA,201211330,ERR1541587;ILLUMINA;Paired;454;ERX1612352;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891703,ERS1078837,7/20/16,7/20/16,ESC_EA1540AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1541AA,201211243,ERR1541586;ILLUMINA;Paired;450;ERX1612351;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891702,ERS1078836,7/20/16,7/20/16,ESC_EA1541AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1545AA,201209109,ERR1541582;ILLUMINA;Paired;426;ERX1612347;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891697,ERS1078831,7/20/16,7/20/16,ESC_EA1545AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1546AA,201209000,ERR1541581;ILLUMINA;Paired;425;ERX1612346;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891696,ERS1078830,7/20/16,7/20/16,ESC_EA1546AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1547AA,201208633,ERR1541580;ILLUMINA;Paired;458;ERX1612345;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891695,ERS1078829,7/20/16,7/20/16,ESC_EA1547AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1548AA,201208354,ERR1541579;ILLUMINA;Paired;437;ERX1612344;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891694,ERS1078828,7/20/16,7/20/16,ESC_EA1548AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1549AA,201207078,ERR1541578;ILLUMINA;Paired;457;ERX1612343;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891693,ERS1078827,7/20/16,7/20/16,ESC_EA1549AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1550AA,201205359,ERR1541577;ILLUMINA;Paired;447;ERX1612342;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 4; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891692,ERS1078826,7/20/16,7/20/16,ESC_EA1550AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1551AA,201202874,ERR1541576;ILLUMINA;Paired;453;ERX1612341;SRA,Human,Human,Shigellosis,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 4; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891691,ERS1078825,7/20/16,7/20/16,ESC_EA1551AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1552AA,201112145,ERR1541575;ILLUMINA;Paired;439;ERX1612340;SRA,Human,Human,Shigellosis,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891690,ERS1078824,7/20/16,7/20/16,ESC_EA1552AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1553AA,201111388,ERR1541574;ILLUMINA;Paired;439;ERX1612339;SRA,Human,Human,Shigellosis,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891689,ERS1078823,7/20/16,7/20/16,ESC_EA1553AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1554AA,201111387,ERR1541573;ILLUMINA;Paired;448;ERX1612338;SRA,Human,Human,Shigellosis,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891688,ERS1078822,7/20/16,7/20/16,ESC_EA1554AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA1555AA,201110914,ERR1541572;ILLUMINA;Paired;445;ERX1612337;SRA,Human,Human,Shigellosis,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,Pathogen,S. sonnei,Lineage III; Clade 1; Baker Nat Comm (2018)9:1462,,Shigellosis,PRJEB12097,ERP013538,SAMEA3891687,ERS1078821,7/20/16,7/20/16,ESC_EA1555AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_EA5816AA,DAEC9,SRR4241848;ILLUMINA;Paired;;SRX2162750;SRA,Human,Human,Homo sapiens; feces,2000,,,,Europe,France,,,,,,,Australian National University,Escherichia coli,,,,,,,,,PRJNA342583,SRP089829,SAMN05763388,SRS1690790,9/17/16,9/16/16,ESC_EA5816AA,,2171,,,,260,88,78,29,70,158,2
ESC_EA6142AA,FR 11,DRR051039;ILLUMINA;Paired;500;DRX045931;SRA,Human,Human,environmental material; Homo sapiens,2008,,,,Europe,France,,,,,,,CALGARY,Escherichia coli,,,,,,,,,PRJDB4303,DRP003215,SAMD00044974,DRS034174,9/24/16,9/23/16,ESC_EA6142AA,,131,ST131 Cplx,B2,,53,40,47,13,36,28,29
ESC_FA5521AA,ED1a,GCF_000026305;Chromosome;;;;Chromosome,,,,,,,,Europe,France,,,,,,,EBI,Escherichia coli,,,B2,Non Pathogen,,,,,PRJNA224116,,SAMEA3138232,ERS610167,12/16/16,12/18/08,ESC_FA5521AA,,452,,,,76,43,19,37,30,1,25
ESC_GA0744AA,Sh201607459,traces-0KrlmPg;ILLUMINA;Paired;;NA;Uploaded,,,,,,,,Europe,France,,,,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd16,,,,,,,,,,,3/17/17,9/19/17,ESC_GA0744AA,,148,ST148 Cplx,B1,,1,4,1,5,1,1,5
ESC_GA3406AA,Nov-89,traces-0SbUaIU;ILLUMINA;Paired;;NA;Uploaded,,,,2011,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd prov. BEDP 02-5104,,,,,,,,,,,5/2/17,11/4/17,ESC_GA3406AA,,288,ST147 Cplx,ABD,,69,59,60,3,3,3,3
ESC_GA3407AA,16-81,traces-0AKyEfU;ILLUMINA;Paired;;NA;Uploaded,,,,1981,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd2,,,,,,,,,,,5/2/17,11/4/17,ESC_GA3407AA,,147,ST147 Cplx,ABD,,3,59,60,3,3,3,3
ESC_GA3956AA,Aug-04,traces-0KKObsT;ILLUMINA;Paired;;NA;Uploaded,,,,2008,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd prov. BEDP 02-5104,,,,HiSeq; Spain?,,,,,,,5/3/17,11/5/17,ESC_GA3956AA,,1761,ST147 Cplx,,,69,259,60,3,3,3,3
ESC_GA3958AA,Oct-51,traces-0IBJKLQ;ILLUMINA;Paired;;NA;Uploaded,,,,2010,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd prov. BEDP 02-5104,,,S. dysenteriae,HiSeq,,,,,,,5/3/17,11/5/17,ESC_GA3958AA,,288,ST147 Cplx,ABD,,69,59,60,3,3,3,3
ESC_GA3962AA,Sep-74,traces-0CSGQJk;ILLUMINA;Paired;;NA;Uploaded,,,,2009,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd prov. BEDP 02-5104,,,,HiSeq,,,,,,,5/3/17,11/5/17,ESC_GA3962AA,,1761,ST147 Cplx,,,69,259,60,3,3,3,3
ESC_GA3963AA,11-1691,traces-0sZDTMv;ILLUMINA;Paired;;NA;Uploaded,,,,2011,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd prov. BEDP 02-5104,,,,HiSeq,,,,,,,5/3/17,11/5/17,ESC_GA3963AA,,1761,ST147 Cplx,,,69,259,60,3,3,3,3
ESC_GA4067AA,UE3-89,traces-0fdSPQh;ILLUMINA;Paired;;NA;Uploaded,,,,1989,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd12,,,S. dysenteriae,,,,,,,,5/5/17,11/7/17,ESC_GA4067AA,,148,ST148 Cplx,B1,,1,4,1,5,1,1,5
ESC_GA4070AA,CIP 58.28,traces-0mtebur;ILLUMINA;Paired;;NA;Uploaded,,,,,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,d10,,,,,,,,,,,5/5/17,11/7/17,ESC_GA4070AA,,290,,D,,67,77,67,69,5,1,59
ESC_GA4074AA,97-10607,traces-0ocsLUe;ILLUMINA;Paired;;NA;Uploaded,,,,1997,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd16,,,,,,,,,,,5/5/17,11/7/17,ESC_GA4074AA,,148,ST148 Cplx,B1,,1,4,1,5,1,1,5
ESC_GA4076AA,NCDC 3341-55,traces-0HxpHAG;ILLUMINA;Paired;;NA;Uploaded,,,,1951,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd12,,,S. dysenteriae,USA ?,,,,,,,5/5/17,11/7/17,ESC_GA4076AA,,253,ST148 Cplx,B1,,1,4,1,5,1,1,52
ESC_GA4083AA,UE9-86,traces-0TCJaNe;ILLUMINA;Paired;;NA;Uploaded,,,,1986,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,8,,,EIEC,,,,,,,,5/5/17,11/7/17,ESC_GA4083AA,,7363,,,,68,80,627,45,7,54,7
ESC_GA4086AA,Nov-26,traces-0EXXdSq;ILLUMINA;Paired;;NA;Uploaded,,,,2011,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd4,,,S. dysenteriae,,,,,,,,5/5/17,11/7/17,ESC_GA4086AA,,252,ST148 Cplx,B1,,1,4,1,5,1,1,51
ESC_GA4102AA,CIP 52.123,traces-0hRNsNQ;ILLUMINA;Paired;;NA;Uploaded,,,,,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd7,,,,USA?,,,,,,,5/5/17,11/7/17,ESC_GA4102AA,,243,ST243 Cplx,B1,,1,4,1,1,1,1,1
ESC_GA4103AA,NCDC4788-55,traces-0QbqcdW;ILLUMINA;Paired;;NA;Uploaded,,,,1955,,,,Europe,France,,,Paris,,,,"F. X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd7,,,S. dysenteriae,USA ?,,,,,,,5/5/17,11/7/17,ESC_GA4103AA,,243,ST243 Cplx,B1,,1,4,1,1,1,1,1
