"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_SA7895AA","E.coli_631","traces-0XWpJaB;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7895AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_SA7896AA","E.coli_629","traces-0xSfNnv;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7896AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_SA7897AA","E.coli_641","traces-0WWRRfU;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7897AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_SA7898AA","E.coli_911","traces-0fhMvoV;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7898AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_SA7899AA","E.coli_962","traces-0tFhDvz;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7899AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_SA7900AA","E.coli_1037","traces-0cZDZHj;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7900AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_SA7901AA","E.coli_917","traces-0Wlwnpu;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7901AA",NA,746,"ST10 Cplx","A",NA,10,7,4,8,12,8,2
"ESC_SA7902AA","E.coli_1034","traces-0YYlZxT;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7902AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_UA1742AA","a21190","ERR5037226;ILLUMINA;Paired;700;ERX4843574;SRA","Poultry","Poultry","Gallus gallus domesticus; Avian",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"CHU Clermont-ferrand","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB42322","ERP126161","","SAMEA7758128","ERS5505460","2021-02-02","2021-02-02","ESC_UA1742AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_UA1743AA","a19470","ERR5037225;ILLUMINA;Paired;700;ERX4843573;SRA","Poultry","Poultry","Gallus gallus domesticus; Avian",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"CHU Clermont-ferrand","Escherichia coli",NA,"O25B:H4",NA,"",NA,"",NA,"PRJEB42322","ERP126161","","SAMEA7758127","ERS5505459","2021-02-02","2021-02-02","ESC_UA1743AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_UA5123AA","DTU2018-119-PRJ1121-Escherichia-coli-HRECCTX248P-16_R1_001.trim.fq.gz","ERR5443095;ILLUMINA;Paired;;ERX5227723;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227157","ERS5913729","2021-03-20","2021-03-17","ESC_UA5123AA",NA,170,"ST10 Cplx","A",NA,10,55,4,12,8,45,2
"ESC_UA5124AA","DTU2018-121-PRJ1121-Escherichia-coli-HRECCTX242P-16_R1_001.trim.fq.gz","ERR5443094;ILLUMINA;Paired;;ERX5227722;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227156","ERS5913728","2021-03-20","2021-03-17","ESC_UA5124AA",NA,2485,"","",NA,6,4,159,140,112,1,17
"ESC_UA5125AA","DTU2018-122-PRJ1121-Escherichia-coli-HRECCTX234P-16_R1_001.trim.fq.gz","ERR5443093;ILLUMINA;Paired;;ERX5227721;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227155","ERS5913727","2021-03-20","2021-03-17","ESC_UA5125AA",NA,162,"ST469 Cplx","AxB1",NA,9,65,5,1,9,13,6
"ESC_UA5126AA","DTU2018-117-PRJ1121-Escherichia-coli-HRECCTX231P-16_R1_001.trim.fq.gz","ERR5443092;ILLUMINA;Paired;;ERX5227720;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227154","ERS5913726","2021-03-20","2021-03-17","ESC_UA5126AA",NA,2599,"","",NA,267,6,5,26,9,13,98
"ESC_UA5127AA","DTU2018-118-PRJ1121-Escherichia-coli-HRECCTX218P-16_R1_001.trim.fq.gz","ERR5443091;ILLUMINA;Paired;;ERX5227719;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227153","ERS5913725","2021-03-20","2021-03-17","ESC_UA5127AA",NA,135,"","B2",NA,13,39,50,13,16,37,25
"ESC_UA5128AA","DTU2018-123-PRJ1121-Escherichia-coli-HRECCTX213P-16_R1_001.trim.fq.gz","ERR5443090;ILLUMINA;Paired;;ERX5227718;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227152","ERS5913724","2021-03-20","2021-03-17","ESC_UA5128AA",NA,135,"","B2",NA,13,39,50,13,16,37,25
"ESC_UA5129AA","DTU2018-528-PRJ1121-Escherichia-coli-HRECCTX198P-16","ERR5443089;ILLUMINA;Paired;;ERX5227717;SRA","Poultry","Poultry","Gallus gallus; caecal sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227151","ERS5913723","2021-03-20","2021-03-17","ESC_UA5129AA",NA,38,"ST38 Cplx","D",NA,4,26,2,25,5,5,19
"ESC_UA5130AA","DTU2018-527-PRJ1121-Escherichia-coli-68546-75676-211125","ERR5443088;ILLUMINA;Paired;;ERX5227716;SRA","Poultry","Poultry","Gallus gallus; meat sample",2016,NA,NA,NA,"Europe","Croatia","","","",NA,45.5643442,17.0118954,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB43584","ERP127552","","SAMEA8227150","ERS5913722","2021-03-20","2021-03-17","ESC_UA5130AA",NA,2309,"ST38 Cplx","",NA,271,26,39,25,5,31,19
"ESC_WA2139AA","E. coli 1528-R34","SRR13179691;ILLUMINA;Paired;;SRX9617781;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976355","SRS7819995","2021-08-01","2021-07-01","ESC_WA2139AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2140AA","E. coli 1526-R34","SRR13179692;ILLUMINA;Paired;;SRX9617780;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976354","SRS7819994","2021-08-01","2021-07-01","ESC_WA2140AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2141AA","E. coli 1521-R34","SRR13179693;ILLUMINA;Paired;;SRX9617779;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976353","SRS7819993","2021-08-01","2021-07-01","ESC_WA2141AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2142AA","E. coli 1516-R34","SRR13179694;ILLUMINA;Paired;;SRX9617778;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976352","SRS7819992","2021-08-01","2021-07-01","ESC_WA2142AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2143AA","E. coli 1514-R34","SRR13179695;ILLUMINA;Paired;;SRX9617777;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976351","SRS7819991","2021-08-01","2021-07-01","ESC_WA2143AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2144AA","E. coli 1512-R34","SRR13179696;ILLUMINA;Paired;;SRX9617776;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16976350","SRS7819990","2021-08-01","2021-07-01","ESC_WA2144AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2145AA","E. coli 1509-R34","SRR13172067;ILLUMINA;Paired;;SRX9610422;SRA","Poultry","Poultry","Gallus gallus; Age: 43 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967689","SRS7813498","2021-08-01","2021-07-01","ESC_WA2145AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_WA2146AA","E. coli 1467-R34","SRR13172068;ILLUMINA;Paired;;SRX9610421;SRA","Poultry","Poultry","Gallus gallus; Age: 39 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967688","SRS7813497","2021-08-01","2021-07-01","ESC_WA2146AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_WA2147AA","E. coli 1466-R34","SRR13172069;ILLUMINA;Paired;;SRX9610420;SRA","Poultry","Poultry","Gallus gallus; Age: 39 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967687","SRS7813496","2021-08-01","2021-07-01","ESC_WA2147AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2148AA","E. coli 1465-R34","SRR13172070;ILLUMINA;Paired;;SRX9610419;SRA","Poultry","Poultry","Gallus gallus; Age: 39 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967686","SRS7813495","2021-08-01","2021-07-01","ESC_WA2148AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2149AA","E. coli 1412-R34","SRR13172071;ILLUMINA;Paired;;SRX9610418;SRA","Poultry","Poultry","Gallus gallus; Age: 37 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967685","SRS7813494","2021-08-01","2021-07-01","ESC_WA2149AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_WA2150AA","E. coli 1409-R34","SRR13172072;ILLUMINA;Paired;;SRX9610417;SRA","Poultry","Poultry","Gallus gallus; Age: 37 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967684","SRS7813493","2021-08-01","2021-07-01","ESC_WA2150AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2151AA","E. coli 1407-R34","SRR13172073;ILLUMINA;Paired;;SRX9610416;SRA","Poultry","Poultry","Gallus gallus; Age: 37 wk; Broiler breeder farm",2019,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967683","SRS7813492","2021-08-01","2021-07-01","ESC_WA2151AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2152AA","E. coli 1209-R33","SRR13172074;ILLUMINA;Paired;;SRX9610415;SRA","Poultry","Poultry","Gallus gallus; Age: 41 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967682","SRS7813491","2021-08-01","2021-07-01","ESC_WA2152AA",NA,69,"ST69 Cplx","D",NA,21,35,27,6,5,5,4
"ESC_WA2153AA","E. coli 1207-R33","SRR13171457;ILLUMINA;Paired;;SRX9609836;SRA","Poultry","Poultry","Gallus gallus; Age: 41 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967654","SRS7813085","2021-08-01","2021-07-01","ESC_WA2153AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_WA2154AA","E. coli 1206-R33","SRR13171458;ILLUMINA;Paired;;SRX9609835;SRA","Poultry","Poultry","Gallus gallus; Age: 41 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967653","SRS7813084","2021-08-01","2021-07-01","ESC_WA2154AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_WA2155AA","E. coli 971-R33","SRR13171459;ILLUMINA;Paired;;SRX9609834;SRA","Poultry","Poultry","Gallus gallus; Age: 25 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967644","SRS7813083","2021-08-01","2021-07-01","ESC_WA2155AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2156AA","E. coli 970-R33","SRR13171460;ILLUMINA;Paired;;SRX9609833;SRA","Poultry","Poultry","Gallus gallus; Age: 25 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967643","SRS7813082","2021-08-01","2021-07-01","ESC_WA2156AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2157AA","E. coli 1125-R33","SRR13171461;ILLUMINA;Paired;;SRX9609832;SRA","Poultry","Poultry","Gallus gallus; Age: 36 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967652","SRS7813081","2021-08-01","2021-07-01","ESC_WA2157AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2158AA","E. coli 1124-R33","SRR13171462;ILLUMINA;Paired;;SRX9609831;SRA","Poultry","Poultry","Gallus gallus; Age: 36 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967651","SRS7813080","2021-08-01","2021-07-01","ESC_WA2158AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2159AA","E. coli 1036-R32","SRR13171463;ILLUMINA;Paired;;SRX9609830;SRA","Poultry","Poultry","Gallus gallus; Age: 58 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967650","SRS7813079","2021-08-01","2021-07-01","ESC_WA2159AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2160AA","E. coli 1035-R32","SRR13171464;ILLUMINA;Paired;;SRX9609829;SRA","Poultry","Poultry","Gallus gallus; Age: 58 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967649","SRS7813078","2021-08-01","2021-07-01","ESC_WA2160AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_WA2161AA","E. coli 1031-R33","SRR13171465;ILLUMINA;Paired;;SRX9609828;SRA","Poultry","Poultry","Gallus gallus; Age: 32 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967648","SRS7813077","2021-08-01","2021-07-01","ESC_WA2161AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2162AA","E. coli 1028-R33","SRR13171466;ILLUMINA;Paired;;SRX9609827;SRA","Poultry","Poultry","Gallus gallus; Age: 32 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967647","SRS7813076","2021-08-01","2021-07-01","ESC_WA2162AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2163AA","E. coli 1025-R33","SRR13171467;ILLUMINA;Paired;;SRX9609826;SRA","Poultry","Poultry","Gallus gallus; Age: 32 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967646","SRS7813075","2021-08-01","2021-07-01","ESC_WA2163AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2164AA","E. coli 975-R33","SRR13171468;ILLUMINA;Paired;;SRX9609825;SRA","Poultry","Poultry","Gallus gallus; Age: 25 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16967645","SRS7813074","2021-08-01","2021-07-01","ESC_WA2164AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2165AA","E. coli 964-R32","SRR13171244;ILLUMINA;Paired;;SRX9609623;SRA","Poultry","Poultry","Gallus gallus; Age: 51 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966901","SRS7812877","2021-08-01","2021-07-01","ESC_WA2165AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_WA2166AA","E. coli 951-R33","SRR13171245;ILLUMINA;Paired;;SRX9609622;SRA","Poultry","Poultry","Gallus gallus; Age: 25 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966900","SRS7812876","2021-08-01","2021-07-01","ESC_WA2166AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_WA2167AA","E. coli 918-R32","SRR13171246;ILLUMINA;Paired;;SRX9609621;SRA","Poultry","Poultry","Gallus gallus; Age: 41 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966899","SRS7812875","2021-08-01","2021-07-01","ESC_WA2167AA",NA,93,"ST168 Cplx","A",NA,6,11,4,10,7,8,6
"ESC_WA2168AA","E. coli 802-R32","SRR13171247;ILLUMINA;Paired;;SRX9609620;SRA","Poultry","Poultry","Gallus gallus; Age: 35 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966898","SRS7812874","2021-08-01","2021-07-01","ESC_WA2168AA",NA,428,"","B2",NA,96,40,13,100,23,28,66
"ESC_WA2169AA","E. coli 801-R32","SRR13171248;ILLUMINA;Paired;;SRX9609619;SRA","Poultry","Poultry","Gallus gallus; Age: 35 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966897","SRS7812873","2021-08-01","2021-07-01","ESC_WA2169AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_WA2170AA","E. coli 798-R32","SRR13171249;ILLUMINA;Paired;;SRX9609618;SRA","Poultry","Poultry","Gallus gallus; Age: 35 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966896","SRS7812872","2021-08-01","2021-07-01","ESC_WA2170AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_WA2171AA","E. coli 795-R32","SRR13171250;ILLUMINA;Paired;;SRX9609617;SRA","Poultry","Poultry","Gallus gallus; Age: 35 wk; Broiler breeder farm",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJNA681385","SRP294800","","SAMN16966895","SRS7812871","2021-08-01","2021-07-01","ESC_WA2171AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
